Portion Boys	KARJALA TAKAS	M	COV08
Rainer Friman (Henry Theel)	UNHOITA MENNEET	M	COV08
Saija Tuupanen (Seija Simola)	EI RAKASTAA VOI TÄMÄN ENEMPÄÄ	M	COV08
Saija Tuupanen (Tulipunaruusut)	SATUTTAVAT SANAT	M	COV08
Satu Pentikäinen (Henry Theel)	KESÄYÖN VALSSI	M	COV08
Souvarit	PITKÄÄ PÄIVÄÄ	M	COV08
Taina Kokkonen	VAIN TAIVAS TIETÄÄ	M	COV08
Tarja Lunnas (Jaska Mäkynen)	SINULLE SYNTYMÄPÄIVÄNÄSI	M	COV08
Teflon Brothers ft Ressu	HUBBA BUBBA	M	COV08
Anna Puu & Olavi Uusivirta	2020	M	COV11
Arja Havakka	MAJAKKA	M	COV11
Arttu Wiskari	TÄSSÄKÖ TÄÄ OLI	M	COV11
Bablo	REISSUMIES	M	COV11
BEHM	FRIDA	M	COV11
Elastinen & Jenni Vartiainen	EPÄRÖIMÄTTÄ HETKEÄKÄÄN	M	COV11
Erin	YHTENÄ SUNNUNTAINA	M	COV11
Irwin Goodman & Esa Pakarinen	SINÄKÖ SE OLITKIN	M	COV11
Kaija Koo	ONNELLINEN LOPPU	M	COV11
Kansan Suosikit	SUOMALAINEN RAKKAUS	M	COV11
Kari Vepsä	SATEINEN ILTA	M	COV11
Katri Helena	TUMMA POIKAMIES	M	COV11
Kirsi Ranto	CIAO ROMERO	M	COV11
Martti Huuhaa Innanen	KUMITERÄSAAPPAAT	M	COV11
Matti Heinivaho	TUNTURIN JUURELLA	M	COV11
Mikael Gabriel	OLI AIKOI	M	COV11
Pirjo Lehti	MUA ÄLÄ JÄTÄ YÖHÖN	M	COV11
Sami Keskitalo	LAPIN LAPSI	M	COV11
Taisto Tammi	YKSI AINOA KATSE VAIN	M	COV11
Vilma Alina	RIKOLLINEN	M	COV11
Annika Eklund	HAAVEET TALLELLA	M	COV13
BEHM	HEI RAKAS	M	COV13
Danny	SINÄ PÄIVÄNÄ KAIKKI RAKASTAA MUA	M	COV13
Irwin Goodman	SURUTON NUORUUSAIKA	M	COV13
Jannika B	KATSO MUA	M	COV13
