ACDC,WHOLE LOTTA ROSIE,K,KONEPC
ACDC,WHOLE LOTTA ROSIE,C,MICRPOY2
ACDC,YOU SHOOK ME ALL NIGHT LONG,C,MICRPOY2
ACE,HOW LONG,K,KONEPC
ACE,HOW LONG,C,MICRPOY2
ACE FREHLEY,NEW YORK GROOVE,C,MICRPOY2
ACE OF BASE,ALL THAT SHE WANTS,K,KONEPC
ACE OF BASE,ALL THAT SHE WANTS,M,MP&R2
ADAM & THE ANTS,KINGS OF THE WILD FRONTIER,K,KONEPC
ADELE,CHASING PAVEMENTS,K,KONEPC
ADELE,HELLO,C,MICRPOY2
ADELE,MAKE YOU FEEL MY LOVE,C,MICRPOY2
ADELE,ROLLING IN THE DEEP VER2,C,MICRPOY2
ADELE,SET FIRE TO THE RAIN,C,MICRPOY2
ADELE,SKYFALL,C,MICRPOY2
ADELE,SOMEONE LIKE YOU,C,MICRPOY2
ADRIANO CELENTANO,UNAFESTA SUI PRATI (ITA),C_U,MICRPOY2
AEROSMITH,BACK IN THE SADDLE,C,MICRPOY2
AEROSMITH,BIG TEN INCH RECORD,C,MICRPOY2
AEROSMITH,CRAZY,M,HR1
AEROSMITH,CRYIN',C,MICRPOY2
AEROSMITH,DREAM ON,M,HR1
AEROSMITH,DREAM ON,C,MICRPOY2
AEROSMITH,FALLING IN LOVE (IS HARD ON THE KNEES),M,HR1
AEROSMITH,I DON'T WANT TO MISS A THING,K,KONEPC
AEROSMITH,I DON'T WANT TO MISS A THING,C,MICRPOY2
AEROSMITH,LAST CHILD,C,MICRPOY2
AEROSMITH,LOVE IN AN ELEVATOR,C,MICRPOY2
AEROSMITH,SAME OLD SONG AND DANCE,C,MICRPOY2
AEROSMITH,SWEET EMOTION,C,MICRPOY2
AEROSMITH,TRAIN KEPT A ROLLIN',C,MICRPOY2
AEROSMITH,WALK THIS WAY,K,KONEPC
AEROSMITH & RUN DMC,WALK THIS WAY,K,KONEPC
AEROSMITH & RUN DMC,WALK THIS WAY,C,MICRPOY2
AFRODITE,NEVER LET IT GO,M,FF
AGATINO ROMERO JAXOMY RAFFAELLA CARRÀ,PEDRO (ITA),C_U,MICRPOY2
AGENTS,ALLA SATEEN ÖISEN,M,MEL67
AGENTS,ANTAUDUN,M,FIN43A3
AGENTS,ARON LEMPEÄ,M,MEL24X
AGENTS,EN ANTAA MUUTA VOI,M,MDV12
AGENTS,ILLAN VARJOON HIMMEÄÄN,M,FIN44A9
AGENTS,KUKAT KAUNIIT,M,MEL24X
AGENTS,SINÄ VAIN,M,FIN35A3
AGENTS,TUULI JA ERÄMAA,M,FIN52
AGENTS,VALOT,M,FIN46A10
AGENTS & J RAITTINEN,C'MON EVERYBODY,M,MEL32X
AHA,HUNTING HIGH AND LOW,C,MICRPOY2
AHA,TAKE ON ME,C,MICRPOY2
AHA,TAKE ON ME,M,MP&R2
AHTI AKE KARJALAINEN,KUIN JUNAN VESSA VER2,C_O,MICRPOY2
AHTI AKE KARJALAINEN,LAULA AKE PARANOID (PARANOID),C_O,MICRPOY2
AHTI AKE KARJALAINEN,MÄ OON KUIN IRWINI,C_O,MICRPOY2
AHTI JA BEHM,TÄHDET,C,MICRPOY2
AHTI LAMPI,ELÄMÄN VALTTIKORTIT,M,FIN2B3
AHTI LAMPI,ELÄMÄN VALTTIKORTIT,M,FIN42A15
AI MUSIC,SINUN RINNALLA (YSTÄVÄNPÄIVÄ LAULU),C,MICRPOY2
AI_TA,VALSSI SYDÄMELLE,C_O,MICRPOY2
AI_TA,YÖN VIIMEINEN VALSSI,C_O,MICRPOY2
AIKAKONE,ALLA VAAHTERAPUUN,K,KONEPC
AIKAKONE,ALLA VAAHTERAPUUN,M,MEL13Z
AIKAKONE,KELTAINEN,K,KONEPC
AIKAKONE,NTI GROOVE,K,KONEPC
AIKAKONE,NTI GROOVE,C,MICRPOY2
AIKAKONE,ODOTA,K,KONEPC
AIKAKONE,TÄHTIKAAREN TAA,K,KONEPC
AIKAKONE,UUDET TUULET,M,MEL27X
AIKAKONE,VUOSISADAN RAKKAUSTARINA,C,MICRPOY2
AIKAMIEHET,ILTATUULEN VIESTI,M,FIN16B3
AIKAMIEHET,ILTATUULEN VIESTI,M,MELVALS
AIKAPOLIISI,HALUUTKO SÄ PELATA MUN NINTENDOO,C,FIAT
AIKAPOLIISI,HERKKUKAUPPA (BAM TSIKI TSIKI),C,FIAT
AIKAPOLIISI,SINÄ OLET AURINKO,C,MICRPOY2
AIMO ANDERSSON,ELÄMÄÄ JUOKSUHAUDOISSA,M,FIN22B10
AIR SUPPLY,ALL OUT OF LOVE,K,KONEPC
AIR SUPPLY,ALL OUT OF LOVE,M,PIO13A9
AIR SUPPLY,COME WHAT MAY,C,MICRPOY2
AIR SUPPLY,LONELY IS THE NIGHT,C,MICRPOY2
AIR SUPPLY,LOST IN LOVE,M,PIO018
AIRBOURNE,BREAKIN' OUTTA HELL,C,MICRPOY2
AKI HIETALA,EI AIKAA HUOMISEEN,M,SK1B1
AKI HIETALA,JOS LUOJA SUO,M,FIN31A4
AKI HIETALA,OOT KALLEIN,M,FIN40B8
AKI SAMULI,EI KUKAAN KETÄÄN,M,MDV66
AKI SIRKESALO,ENKELEITÄ ONKO HEITÄ,K,KONEPC
AKI SIRKESALO,KISSANAINEN,C_O,MICRPOY2
AKI SIRKESALO,MULLONIKÄVÄSUA,M,MEL60
AKI SIRKESALO,NAISPAHOLAINEN,K,KONEPC
AKI SIRKESALO,NAISPAHOLAINEN,M,SAT02
AKI SIRKESALO,PAREMPAA AIKAA,M,MEL50X
AKI SIRKESALO,PUNATUKKAINEN,M,MEL60
AKI SIRKESALO,SANANSA MITTAINEN MIES,C_O,MICRPOY2
AKI SIRKESALO,SEKSUAALISTA HÄIRINTÄÄ,M,MDV08
AKI SIRKESALO,TULE NYT,C_O,MICRPOY2
AKI SIRKESALO,TURISTIT,C_O,MICRPOY2
AKI SIRKESALO & LISA NILSSON,MYSTEERI MYSTERIET,M,MEL52X
AKNESTIK,SUOMIROKKIA,K,KONEPC
AKNESTIK,SUOMIROKKIA,M,MEL62
AL GREEN,LET'S STAY TOGETHER,M,PIO018
AL MARTINO,SPANISH EYES,K,KONEPC
AL STEWART,YEAR OF THE CAT,C,MICRPOY2
ALADDIN,SE ON KUIN YÖ,C,MICRPOY2
ALAN JACKSON,CHATTAHOOCHEE,C,MICRPOY2
ALAN JACKSON & JIMMY BUFFETT,IT'S FIVE O'CLOCK SOMEWHERE,C,MICRPOY2
ALAN PARSONS PROJECT,SILENCE AND I,C,MICRPOY2
ALAN WALKER,ALONE,C,MICRPOY2
ALAN WALKER,FADED,C,MICRPOY2
ALANIS MORISSETTE,IRONIC,K,KONEPC
ALANIS MORISSETTE,YOU OUGHTA KNOW,K,KONEPC
ALANIS MORISSETTE,YOU OUGHTA KNOW,C,MICRPOY2
ALANNAH MYLES,BLACK VELVET,K,KONEPC
ALANNAH MYLES,BLACK VELVET,C,MICRPOY2
ALBERT HAMMOND,IT NEVER RAINS SOUTHERN CALIFORNIA,C,MICRPOY2
ALEKSI OJALA,RAKASTAA JA TULLA RAKASTETUKSI,K,KONEPC
ALEXANDER RYBAK,FAIRYTALE,C,MICRPOY2
ALEXANDRA BURKE,HALLELUJAH,C,MICRPOY2
ALEXIA,THE SUMMER IS CRAZY,C,MICRPOY2
ALEXIA,UH LA LA LA,C,MICRPOY2
ALICE COOPER,BE MY LOVER,C,MICRPOY2
ALICE COOPER,BILLION DOLLAR BABIES,C,MICRPOY2
ALICE COOPER,ELECTED,C,MICRPOY2
ALICE COOPER,FEED MY FRANKENSTEIN,C,MICRPOY2
ALICE COOPER,HEY STOOPID,C,MICRPOY2
ALICE COOPER,I'M EIGHTEEN,C,MICRPOY2
ALICE COOPER,IT'S ME,C,MICRPOY2
ALICE COOPER,NO MORE MISTER NICE GUY,C,MICRPOY2
ALICE COOPER,ONLY WOMEN BLEED,C,MICRPOY2
ALICE COOPER,POISON,M,HR1
ALICE COOPER,POISON,C,MICRPOY2
ALICE COOPER,POISON,M,ROCK
ALICE COOPER,SCHOOL'S OUT,M,HR1
ALICE COOPER,SCHOOL'S OUT,C,MICRPOY2
